Name;Routing;;;
WBGS_WMKK5;WBGS VSI VKG AGOBA SABIP BOBOB KETOD OBDAB VPK ISTAN VKL WMKK;;;  
WBGS_WMKK6;WBGS VSI VKG AGOBA SABIP BOBOB KETOD PADLI SAROX VKL WMKK;;;
WBKD_WBKK1;WBKD LHD VSN VJN WBKK;;;
WBKD_WBKK2;WBKD LHD VSN VJN WBKK;;;
WBKD_WBKK3;WBKD LHD VJN WBKK;;; 
WBKD_WBKK4;WBKD LHD VJN WBKK;;; 
WBKD_WBKK5;WBKD LHD VSN VJN WBKK;;;
WBKK_WBGB1;WBKK VJN BRU KADMO VBU WBGB;;;
WBKK_WBGB2;WBKK VJN BRU KADMO VBU WBGB;;;
WBKK_WBGG1;WBKK VJN BRU VMI SARVO PILAX AGPOP VKG WBGG;;;
WBKK_WBGG2;WBKK VJN BRU KADMO VBU VSI VKG WBGG;;; 
WBKK_WBGG3;WBKK VJN BRU VMI VBU VSI VKG WBGG;;; 
WBKK_WBGG4;WBKK VJN BRU VMI VBU VSI VKG WBGG;;; 
WBKK_WBGR1;WBKK VJN BRU VMI WBGR;;;
WBKK_WBGR2;WBKK VJN BRU KADMO VMI WBGR;;;
WBKK_WBGR3;WBKK VJN BRU VMI WBGR;;;
WBKK_WBGR4;WBKK VJN BRU VMI WBGR;;;
WBKK_WBGR5;WBKK VJN BRU VMI WBGR;;;
WBKK_WBGS1;WBKK VJN BRU KADMO VBU VSI WBGS;;;  
WBKK_WBGS2;WBKK VJN BRU VMI VBU VSI WBGS;;;  
WBKK_WBKD1;WBKK VJN VTW LHD WBKD;;;
WBKK_WBKD2;WBKK VJN LHD WBKD;;; 
WBKK_WBKD3;WBKK VJN VTW LHD WBKD;;;
WBKK_WBKD4;WBKK VJN LHD WBKD;;; 
WBKK_WBKD5;WBKK VJN LHD WBKD;;; 
WBKK_WBKL1;WBKK VJN VIDIP VLB WBKL;;;
WBKK_WBKL2;WBKK VJN VIDIP VLB WBKL;;;
WBKK_WBKS1;WBKK VJN VSN WBKS;;; 
WBKK_WBKS2;WBKK VJN VSN WBKS;;; 
WBKK_WBKS3;WBKK VJN VSN WBKS;;; 
WBKK_WBKS4;WBKK VJN LHD VSN WBKS;;;
WBKK_WBKS5;WBKK VJN VSN WBKS;;; 
WBKK_WBKS6;WBKK VJN VSN WBKS;;; 
WBKK_WBKS7;WBKK VJN VSN WBKS;;; 
WBKK_WBKW1;WBKK VJN VTW WBKW;;; 
WBKK_WBKW2;WBKK VJN VSN VTW WBKW;;;
WBKK_WBKW3;WBKK VJN VTW WBKW;;; 
WBKK_WBKW4;WBKK VJN VTW WBKW;;; 
WBKK_WBKW5;WBKK VJN VTW WBKW;;; 
WBKK_WBKW6;WBKK VJN VTW WBKW;;; 
WBKK_WBKW7;WBKK VJN VTW WBKW;;; 
WBKK_WBKW8;WBKK VJN VTW WBKW;;; 
WBKK_WMKJ1;WBKK VJN VIDIP DOGOG OLKIT TERIX BOBOB TOMAN HOSBA KK VJR WMKJ;;;  
WBKK_WMKJ2;WBKK VJN VIDIP DOGOG OLKIT TERIX BOBOB TOMAN HOSBA KK VJR WMKJ;;;  
WBKK_WMKK1;WBKK VJN VIDIP DOGOG OLKIT TERIX LUSMO IDSEL PADLI SAROX VKL WMKK;;;  
WBKK_WMKK2;WBKK VJN VIDIP DOGOG OLKIT TERIX LUSMO IDSEL PADLI SAROX VKL WMKK;;;  
WBKK_WMKK3;WBKK VJN BRU OLKIT TERIX LUSMO IDSEL PADLI SAROX VKL WMKK;;;
WBKK_WMKK4;WBKK VJN VIDIP DOGOG OLKIT TERIX LUSMO IDSEL PADLI SAROX VKL WMKK;;;  
WBKK_WMKK5;WBKK VJN VIDIP DOGOG OLKIT TERIX LUSMO IDSEL VPK ISTAN VKL WMKK;;;  
WBKK_WMKK6;WBKK VJN VIDIP DOGOG OLKIT TERIX LUSMO IDSEL VPK ISTAN VKL WMKK;;;  
WBKK_WMKK7;WBKK VJN VIDIP DOGOG OLKIT TERIX LUSMO IDSEL VPK ISTAN VKL WMKK;;;  
WBKK_WMKK8;WBKK VJN VIDIP DOGOG OLKIT TERIX LUSMO IDSEL VPK ISTAN VKL WMKK;;;  
WBKK_WMKK9;WBKK VJN VIDIP DOGOG OLKIT TERIX LUSMO IDSEL VPK ISTAN VKL WMKK;;;  
WBKK_WMKK10;WBKK VJN VIDIP DOGOG OLKIT TERIX LUSMO IDSEL VPK ISTAN VKL WMKK;;;  
WBKK_WMKK11;WBKK VJN VIDIP DOGOG OLKIT TERIX LUSMO IDSEL VPK ISTAN VKL WMKK;;;  
WBKK_WMKK12;WBKK VJN VIDIP DOGOG OLKIT TERIX LUSMO IDSEL VPK ISTAN VKL WMKK;;;  
WBKK_WMKK13;WBKK VJN VIDIP DOGOG OLKIT TERIX LUSMO IDSEL VPK ISTAN VKL WMKK;;;  
WBKK_WMKK14;WBKK VJN BRU OLKIT TERIX LUSMO IDSEL VPK ISTAN VKL WMKK;;;
WBKK_WMKK15;WBKK VJN VIDIP DOGOG OLKIT TERIX LUSMO IDSEL VPK ISTAN VKL WMKK;;;  
WBKK_WMKK16;WBKK VJN VIDIP DOGOG OLKIT TERIX LUSMO IDSEL VPK ISTAN VKL WMKK;;;  
WBKK_WMKK17;WBKK VJN VIDIP DOGOG OLKIT TERIX LUSMO IDSEL VPK ISTAN VKL WMKK;;;  
WBKK_WMKK18;WBKK VJN VIDIP DOGOG OLKIT TERIX LUSMO IDSEL VPK ISTAN VKL WMKK;;;  
WBKK_WMKK19;WBKK VJN VIDIP DOGOG OLKIT TERIX LUSMO IDSEL PADLI SAROX VKL WMKK;;;  
WBKK_WMKK20;WBKK VJN VIDIP DOGOG OLKIT TERIX LUSMO IDSEL VPK ISTAN VKL WMKK;;;  
WBKK_WMKK21;WBKK VJN VIDIP DOGOG OLKIT TERIX LUSMO IDSEL PADLI SAROX VKL WMKK;;;  
WBKK_WMKK22;WBKK VJN VIDIP DOGOG OLKIT TERIX LUSMO IDSEL VPK ISTAN VKL WMKK;;;  
WBKK_WMKK23;WBKK VJN VIDIP DOGOG OLKIT TERIX LUSMO IDSEL PADLI SAROX VKL WMKK;;;  
WBKK_WMKK24;WBKK VJN VIDIP DOGOG OLKIT TERIX LUSMO IDSEL PADLI SAROX VKL WMKK;;;  
WBKK_WMKK25;WBKK VJN VIDIP DOGOG OLKIT TERIX LUSMO IDSEL PADLI SAROX VKL WMKK;;;  
